n
Níètí
Nífẹ́mi
Nífiṣe
Níhìnlẹwàwà
Níhìnlọlá
Níhìnọlá
Níkẹ
Nínálowó
Nínílọlá
Níníọlá
Nírètí
Nírètíọlá
Níyọ̀ọlá
Núrénì
