r
Rájí
Rántí
Ratan
Rẹ̀mí
Rẹ̀mílẹkún
Rẹ́nikẹ́
Rerelolú
Rerelolúwa
Rereolúwa
Rewájú
Rìnádé
Rìndé
Rìnlóyè
Rìnmáyọ̀
Rìnsádé
Rìnsáyọ̀
Rìnsọlá
Rìnsóyè
Ríyìkẹ́
Rógbùwà
Rọ́lárí
Rọ́láyọ̀
Rọ̀mádé
Rọ́mọkẹ́
Rónkẹ́
Rọ́pò
Rósanwó
Róṣíji
Rótayọ̀
Rótayọ̀mi
Rótifá
Rótìlù
Rótìmí
Rótolú
Rúnṣèwé
