̣
Òbémbé
Òdúbáyọ̀
Òdúkòmaiyà
Òdúmósù
Ọ̀gábí
Ògèdèǹgbé
Ògúnadé
Ògúnbánjí
Ògúnbánjọ
Ògúnbánwó
Ògúnbíyí
Ògúnbọwálé
Ògúndánà
Ògúndé
Ògúndèjì
Ògúndélé
Ògúndẹ̀yìn
Ògúndìmú
Ògúndípẹ̀
Ògúndoyin
Ògúndòyìnbó
Ògúndúyìlé
Ògúnkólá
Ògúnkọ́ládé
Ògúnkúnlé
Ògúnladé
Ògúnlésì
Ògúnlọ́wọ̀
Ògúnmẹ́fun
Ògúnmẹ́kàn
Ògúnmókùn
Òǵunmọlá
Ògúnmúsiré
Ògúnnáìkè
Ògúnníkẹ
Ògúnníran
Ògúnoyè
Ògúnrántí
Ògúnrẹ̀mí
Ògúnrótìmí
Ògúnṣakin
Ògúnsanmí
Ògúnsanwó
Ògúnsànyà
Ògúntìmẹ́hìn
Ògúntóyè
Ògúnwò́
Ògúnwọlé
Ògúnwoolu
Ògúnwùmí
Ògúnwùsì
Ọ̀jẹ̀bọ̀dé
Ọ̀jẹ̀labí
Òjó
Ọ̀jọmọ
Òjótísà
Òkè
Òkèdìji
Òkéṣípẹ̀
Òkètáòlegùn
Òkúbọtẹ̀
Ọ̀nàọlápọ̀
Ọ̀pádèjì
Ọ̀pálẹ́yẹ
Ọ̀rẹ́ṣadé
Ọ̀rẹ́suyì
Òsénì
Ọ̀ṣínbàjò
Òsínjolú
Ọ̀sínlọ́wọ̀
Ọ̀sínúbi
Ọ̀ṣọ́fisan
Òsoògùn
Ọ̀sundáre
Ọ̀ṣúnkójọ
Ọ̀súnnúgà
Ọ̀suntókun
Ọ̀sunyọmádé
Ọ̀tẹ̀múyìwá
Òtítọ́jù
Òyéwọyin
Òsanyìntọ́lá
Ọ̀tọkìtí
Ògúndiwin
Ògúnsowóbọ̀
Ọ̀jẹ̀túndé
Ọ̀sunníyì
Ọ̀súnjayé
Ọ̀súnjaiyé
Òkìkíìmọ́lẹ̀
Ògúntìmílẹ́hìn
Ògúntìmílẹ́yìn
Ọ̀gúntìmẹ́yìn
Ọ̀pádoyin
Òkikíadé
Òkúnnú
Òní
Ọ̀súngboyè
Ọ̀ṣínáìkè
Ògúngbẹ̀san
Ọ̀sọbà
Òdeajé
Ọ̀túnba
Ògúnfuwà
Ọ̀nàọlámipọ̀
Ògúntibẹ̀jù
Ọ̀nàọláṣí
Òkìtì
Òkèọnà
Ọ̀rẹ́táyọ̀
Ògìdán
Ògúnpéjú
Ọ̀jẹ́wuyì
Ògúntóyìnbó
Ọ̀tẹ̀ṣílé
Òjíkùtù
Ògúnsínà
Ọ̀jẹ̀dòkun
Ògúnjọbí
Ọ̀sunbùnmi
Ọ̀súngbẹ́kún
Ògbóríẹfọ̀n
Ọ̀súndínà
Òrìṣàgúnà
Ògúnnọ́wọ̀
Ògúntúàṣe
Ògúntúnwàṣe
Òguntúwàṣe
Ọ̀rẹ́dẹ̀ìn
Ọ̀ṣìnúgà
ọ̀rẹ́dẹ̀hìn
Ọ̀rẹ́dẹ̀yìn
Ògunsan
Ògúnbáyọ̀dé
Ọ̀pábùnmi
Ògúnṣọlá
Òdòdó
Ọ̀wọ̀adé
Ògúnníyì
Ọ̀páyẹmí
Ògúndìran
Ògúndámisí
Òsàrẹ̀mí
Òkètóògùn
Òkìkíọlá
Ọ̀rọ̀olúwakìíyẹ̀
Òkìkíolúwa
Òkìkìolú
Òkètógùn
Ọ̀runṣolú
Ọ̀tẹ́dọlá
Ọ̀tẹ́gbọlá
Ọ̀gínní
Ògúnbọnà
Ọ̀jẹ̀ladé
Òkédèyí
Ọ̀tọ̀lórìn
Ògúnnúpẹ̀bí
Ògúnṣẹ̀yẹ
Ọ̀ṣúnlẹ́yẹ
Ọ̀súnjìmí
Ọ̀súnjìnmí
Ọ̀tẹ́pọlá
Ọ̀tẹ́pará
Ọ̀rẹ́ṣẹ́gun
Ògúnlànà
Ògúnlègbè
Ògúndépò
Òjòlayọ̀
Ògún
