̣
Èbúdọlá
Ẹ̀bùn
Ẹ̀bùnìleriòluwá
Ẹ̀bùnlọmọ
Ẹ̀bùnolúwa
Èdìdììmísí
Èébúdọlá
Èésúọlá
Ẹ̀gbẹ̀jí
Ègbèṣínà
Égúnlúsì
Égúnyẹ́mí
Ẹ̀híndẹ̀rọ̀
Èjíwùmí
Èjíwùnmí
Èkémọdé
Èléyìnmí
Ẹ̀míayọ̀
Ẹ̀mílójù
Ẹ̀míọlá
Ẹ̀míolúwa
Èpédọlá
Èrèọlá
Ẹ̀rí
Ẹ̀ríayọ̀
Ẹ̀rígbàgbọ́
Ẹ̀ríìfẹ́
Ẹ̀ríìfẹ́olúwa
Ẹ̀ríire
Ẹ̀ríìyanuolúwa
Ẹ̀rínayọ̀mi
Ẹ̀rínọlá
Ẹ̀rínọ̀shọ́
Ẹ̀rínoṣó
Ẹ̀ríolúwa
Ẹ̀ríolúwatósìn
Ẹ̀ríyanuolúwa
Èrògbogbo
Èròmídayọ̀
Ẹ̀rùòbodò
Ẹ̀rùọmọ́bàmì
Ẹ̀ṣà
Ẹ̀san
Èṣùbíyí
Èṣúbùnmi
Èṣùdé
Ẹ̀ṣùgbàmí
Ẹ̀ṣúgbayì
Èṣúgbèmí
Èṣùgbóhùn
Èṣúgbọ̀lá
Èṣùkáyọ̀dé
Èṣùkẹ́mi
Èṣúrúoṣó
Èṣúsànyà
Èṣúṣeékẹ́
Èsùtáyọ̀
Èṣúyẹmí
Ẹ̀taòkò
Èwúoṣó
Èyíloreolúwa
Èyímofẹ́
Èyínimofé
Èyíówùáwí
Èyítáyọ̀
Èyítèmi
Èyítọ́lá
Èyítómi
Èyítóní
Èyítọ́pẹ́
Èyíwùnmí
Èyíwùnmítólúwabunmí
